danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,energy_cat
0.812,0.579,-8.414,1,0.0524,0.000743,0.873,0.0972,0.521,119.992,4,techno,3
0.165,0.117,-17.526,0,0.0412,0.929,0.909,0.692,0.0365,129.591,4,classical,1
0.595,0.878,-4.341,0,0.0401,0.000293,0.00266,0.174,0.465,93.94,4,metal,5
0.722,0.187,-13.189,1,0.0433,0.983,0.906,0.108,0.0832,119.952,4,acoustic,1
0.695,0.421,-7.046,1,0.0375,0.798,0.0,0.096,0.686,129.749,4,acoustic,3
0.551,0.683,-7.308,1,0.0345,0.000297,0.305,0.105,0.179,100.03,4,metal,4
0.547,0.853,-5.02,1,0.0364,0.718,0.000256,0.33,0.942,164.279,4,rock,5
0.743,0.675,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,4,pop,4
0.515,0.752,-1.853,0,0.0336,0.00207,2.5e-06,0.129,0.503,83.541,4,blues,4
0.894,0.791,-4.699,1,0.112,0.0183,0.0,0.0388,0.583,105.018,4,dance,4
0.702,0.0861,-11.942,1,0.11,0.991,0.926,0.11,0.348,179.78,4,acoustic,1
0.48,0.958,-4.241,0,0.0664,2.45e-05,0.0,0.52,0.385,110.05,4,metal,5
0.921,0.668,-8.73,1,0.235,0.0949,0.0,0.592,0.892,131.059,4,pop,4
0.504,0.434,-10.201,1,0.0414,0.869,0.0034,0.274,0.494,138.42,4,classical,3
0.342,0.2,-13.569,1,0.0324,0.134,0.000153,0.341,0.0743,133.113,4,acoustic,1
0.276,0.903,-2.542,1,0.062,0.00485,0.0,0.127,0.723,81.286,4,rock,5
0.721,0.499,-9.975,0,0.0338,0.00274,0.0,0.0914,0.289,126.036,4,dance,3
0.418,0.343,-7.492,1,0.0339,0.741,0.0,0.113,0.327,121.805,4,pop,2
0.449,0.682,-5.295,0,0.029,0.205,0.0,0.175,0.254,139.924,4,metal,4
0.58,0.573,-8.137,1,0.061,0.00305,0.0015,0.182,0.477,121.225,4,blues,3
0.556,0.0172,-22.447,1,0.0986,0.995,0.829,0.304,0.117,102.918,4,jazz,1
